# pyGIMLi ERT data TR4 (corrected)
# nCols = 7
# x y z a b m n rhoa
# Format: x y z a b m n rhoa

# ---- 10m spacing ----
0   0 0 0 3 1 2 2.57644
10  0 0 1 4 2 3 1.82236
20  0 0 2 5 3 4 2.70212
30  0 0 3 6 4 5 2.45076
40  0 0 4 7 5 6 1.63384
50  0 0 5 8 6 7 8.86044
60  0 0 6 9 7 8 41.41156
70  0 0 7 10 8 9 34.37348
80  0 0 8 11 9 10 19.7946
90  0 0 9 12 10 11 46.37592
100 0 0 10 13 11 12 48.13544
110 0 0 11 14 12 13 45.81036
120 0 0 12 15 13 14 43.6738
130 0 0 13 16 14 15 51.15176
140 0 0 14 17 15 16 44.6164
150 0 0 15 18 16 17 49.26656
160 0 0 16 19 17 18 45.05628
170 0 0 17 20 18 19 26.83268

# ---- 20m spacing ----
0   0 0 0 6 2 4 4.90152
10  0 0 1 7 3 5 4.3988
20  0 0 2 8 4 6 7.16376
30  0 0 3 9 5 7 11.68824
40  0 0 4 10 6 8 78.04728
50  0 0 5 11 7 9 88.10168
60  0 0 6 12 8 10 30.7916
70  0 0 7 13 9 11 25.7644
80  0 0 8 14 10 12 67.49016
90  0 0 9 15 11 13 67.2388
100 0 0 10 16 12 14 41.97712
110 0 0 11 17 13 15 33.9336
120 0 0 12 18 14 16 30.66592
130 0 0 13 19 15 17 27.90096
140 0 0 14 20 16 18 26.01576

# ---- 30m spacing ----
0   0 0 0 9 3 6 8.4834
10  0 0 1 10 4 7 17.72088
20  0 0 2 11 5 8 85.7766
30  0 0 3 12 6 9 89.73552
40  0 0 4 13 7 10 76.3506
50  0 0 5 14 8 11 41.66292
60  0 0 6 15 9 12 25.26168
70  0 0 7 16 10 13 39.96624
80  0 0 8 17 11 14 55.99044
90  0 0 9 18 12 15 49.20372
100 0 0 10 19 13 16 32.80248
120 0 0 12 20 14 17 21.49128

# ---- 40m spacing ----
0   0 0 0 12 4 8 65.3536
10  0 0 1 13 5 9 92.75184
20  0 0 2 14 6 10 87.976
30  0 0 3 15 7 11 101.04672
40  0 0 4 16 8 12 63.09136
50  0 0 5 17 9 13 35.69312
60  0 0 6 18 10 14 52.03152
70  0 0 7 19 11 15 48.00976
80  0 0 8 20 12 16 43.73664

# ---- 50m spacing ----
0   0 0 0 15 5 10 103.0576
10  0 0 1 16 6 11 127.8794
20  0 0 2 17 7 12 124.7374
30  0 0 3 18 8 13 79.4926
40  0 0 4 19 9 14 58.127
50  0 0 5 20 10 15 56.2418

# ---- 60m spacing ----
0   0 0 0 18 6 12 147.79968
10  0 0 1 19 7 13 165.14352
20  0 0 2 20 8 14 98.40744
